병원/약국명,병원/약국구분,소재지주소,경도,위도
강동경희한약국,약국,서울특별시 강동구 풍성로 200 (성내동),127.134001,37.52937438
강동더본약국,약국,서울특별시 강동구 양재대로 1465 마루홈타운 107호 (길동),127.1393141,37.53683936
강동메디칼약국,약국,서울특별시 강동구 올림픽로 686 (천호동),127.1251046,37.54248266
강동미래약국,약국,서울특별시 강동구 올림픽로 782 (암사동),127.1281264,37.5508658
강동보건약국,약국,서울특별시 강동구 성내로 40 (성내동),127.1245706,37.52889193
강동새경희약국,약국,서울특별시 강동구 동남로73길 13 1층 (명일동),127.155461,37.55274242
강동소망약국,약국,"서울특별시 강동구 천호대로 1111 1층 (길동, 정우빌딩)",127.1351091,37.53538427
강동솔약국,약국,서울특별시 강동구 양재대로 1473 희헌타워 1층 (길동),127.1395875,37.53751062
강동약국,약국,서울특별시 강동구 암사길 53 (암사동),127.1353358,37.55202291
강동엠약국,약국,서울특별시 강동구 천호대로 1195 지앤지타워 1층 101호 (길동),127.1439076,37.53503932
강동온누리약국,약국,서울특별시 강동구 천호대로187길 53 (길동),127.1427915,37.53662567
강동우리약국,약국,서울특별시 강동구 천호대로173길 12 (길동),127.1355579,37.53561208
강동웰빙약국,약국,서울특별시 강동구 천호대로 1124 1층 (성내동),127.136193,37.53433753
강동정문약국,약국,서울특별시 강동구 진황도로 74 (천호동),127.1347754,37.53680179
강동태평양약국,약국,서울특별시 강동구 양재대로 1343 (성내동),127.1352133,37.52633605
강동프라자약국,약국,서울특별시 강동구 올림픽로 624 (성내동),127.1232416,37.53704047
강동한우리약국,약국,서울특별시 강동구 올림픽로 778 (암사동),127.1279171,37.55040094
강동해오름약국,약국,서울특별시 강동구 양재대로 1589 (천호동),127.142983,37.54749444
강림약국,약국,서울특별시 동작구 시흥대로 668-2 (신대방동),126.908568,37.49107247
강변그랜드약국,약국,"서울특별시 광진구 광나루로56길 63 123호,135호,136호 (구의동, 프라임프라자상가)",127.0963199,37.53653797
강북김약국,약국,서울특별시 강북구 도봉로49길 8 1층 (미아동),127.025951,37.6252698
강북다모아약국,약국,서울특별시 강북구 도봉로 79 (미아동),127.029529,37.61630677
강북메디칼약국,약국,서울특별시 강북구 도봉로 190 (미아동),127.0267519,37.62585655
강북열린약국,약국,서울특별시 동대문구 전농로 110 1층 (답십리동),127.0578871,37.57464467
강북우리약국,약국,서울특별시 강북구 한천로 1081 1층 (수유동),127.0229683,37.64247442
강북제일약국,약국,서울특별시 강북구 도봉로37길 7 1층 (미아동),127.0271058,37.6223056
강서메디칼약국,약국,서울특별시 강서구 까치산로4길 3 (화곡동),126.844139,37.54249465
강서보건약국,약국,서울특별시 강서구 공항대로67길 29-26 시우 1층 (염창동),126.868885,37.54975013
강서약국,약국,서울특별시 강서구 등촌로 79 (등촌동),126.8632307,37.53705019
강서약국,약국,서울특별시 구로구 개봉로19길 21 (개봉동),126.8558181,37.49297455
강서연세약국,약국,"서울특별시 강서구 화곡로 346 103호 (화곡동, 귀뚜라미홈시스텔)",126.8520182,37.554508
강서자이온누리약국,약국,"서울특별시 강서구 양천로 401 109-2호 (가양동, 강서한강자이타워A동)",126.847644,37.56570112
강서종로약국,약국,서울특별시 강서구 강서로 257 (내발산동),126.8360344,37.54868548
강서홈약국,약국,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥 1층 (등촌동),126.8548187,37.55847005
강서힐약국,약국,서울특별시 강서구 양천로 45-1 (방화동),126.8088497,37.57315744
강약국,약국,서울특별시 송파구 중대로 135 아이티벤처타워 동관 104호 (가락동),127.1224265,37.49509529
강약국,약국,"서울특별시 동작구 서달로 158 (흑석동, 명수대상가104호)",126.9621909,37.50727266
강약국,약국,서울특별시 양천구 화곡로 105 (신월동),126.8336014,37.54006962
강약국,약국,서울특별시 강동구 올림픽로80길 43 (천호동),127.1276571,37.54307102
강약국,약국,서울특별시 서대문구 세검정로1길 7 (홍은동),126.9422862,37.59212565
강원약국,약국,서울특별시 성북구 아리랑로 117-7 (정릉동),127.0130144,37.60246944
강원약국,약국,서울특별시 관악구 대학길 36 (신림동),126.9375815,37.46913538
강원약국,약국,서울특별시 마포구 월드컵북로 25 지하1층 (서교동),126.9191816,37.5566455
강일약국,약국,"서울특별시 강동구 아리수로97길 19 상가동 201호 (강일동, 강일리버파크)",127.1762286,37.56668763
개나리봄약국,약국,서울특별시 강남구 역삼로 310 한솔필리아 2층 26호 (역삼동),127.0484209,37.49923538
개롱약국,약국,"서울특별시 송파구 오금로 396 1층 114호 (가락동, 에스케이허브파크)",127.1342159,37.49795707
개미약국,약국,서울특별시 성북구 장월로 128 (장위동),127.0496081,37.61680082
개미프라자약국,약국,서울특별시 구로구 구로동로35길 46 (구로동),126.8820345,37.4923361
개봉지예당약국,약국,서울특별시 구로구 고척로 123-1 (개봉동),126.8477999,37.50223476
개성약국,약국,"서울특별시 구로구 경인로 176 308호 (오류동, 시티월드)",126.8410498,37.49435897
개포메디칼약국,약국,"서울특별시 강남구 개포로 303 지하1층 16호 (개포동, 현대1차아파트)",127.0539293,37.48231523
개포종로온누리약국,약국,서울특별시 강남구 선릉로 42 1층 (개포동),127.0600358,37.48338254
개포플러스약국,약국,서울특별시 강남구 선릉로 30 개포빌딩 1층 (개포동),127.0611748,37.48251245
개화약국,약국,"서울특별시 강서구 양천로 31 1층 (방화동, 푸른빌딩)",126.8073372,37.5729199
갤러리아온누리약국,약국,서울특별시 강남구 선릉로 843 107호 (신사동),127.0402091,37.52721338
갤러리약국,약국,서울특별시 송파구 올림픽로 212 (잠실동),127.094435,37.51150425
갤러리약국,약국,서울특별시 강남구 학동로20길 55 106호 (논현동),127.0271974,37.51007681
거북당약국,약국,서울특별시 서대문구 응암로 53 (북가좌동),126.9097779,37.57820183
거여서울약국,약국,"서울특별시 송파구 오금로 505 (거여동, 101호)",127.1448479,37.4932112
거평원온누리약국,약국,"서울특별시 강남구 봉은사로 129 지하1층 (논현동, 거평타운)",127.0283141,37.505917
건강과행복이열리는약국,약국,서울특별시 서초구 서초대로 307 (서초동),127.0151324,37.49440619
건강과행복이열리는약국,약국,"서울특별시 노원구 한글비석로 242 113호, 114호 (중계동, 삼부프라자)",127.0769722,37.64923315
건강과행복이열리는중앙메디칼약국,약국,서울특별시 동작구 흑석로 106-5 1층 (흑석동),126.9614525,37.50787997
건강누리약국,약국,서울특별시 마포구 성암로 209 1층 (상암동),126.8964169,37.57812633
건강드림약국,약국,서울특별시 영등포구 영중로 70 1층 (영등포동5가),126.9053399,37.52244705
건강밝은약국,약국,서울특별시 은평구 연서로 216 (대조동),126.9201205,37.61780045
건강백세약국,약국,서울특별시 중구 서소문로 12 (중림동),126.9633375,37.55895794
건강비타민약국,약국,서울특별시 강북구 솔매로 59 (미아동),127.018817,37.62498738
건강샘약국,약국,서울특별시 송파구 백제고분로 275 1층 (석촌동),127.0973382,37.50277883
건강샘약국,약국,서울특별시 은평구 갈현로 300 206호 (갈현동),126.9174201,37.62360978
건강샘온누리약국,약국,"서울특별시 구로구 경인로 661 219동 237호 (신도림동, 신도림1차푸르지오)",126.8874747,37.50916331
건강샘온누리약국,약국,서울특별시 노원구 동일로243길 33 1층 (상계동),127.0531219,37.67844652
