No,주소,경도,위도
161,서울특별시 동작구 상도로 354,126.9527265,37.49687712
162,서울특별시 동작구 사당로 4,126.9548541,37.49540648
163,"""서울특별시 동작구 동작대로 21,""",126.9813622,37.47848231
164,서울특별시 마포구 백범로 35,126.9388682,37.55174841
165,서울특별시 마포구 상암산로 76,126.8923142,37.57919483
166,서울특별시 마포구 토정로 295,126.9422151,37.54119812
167,서울특별시 마포구 양화로 125,126.9203101,37.55475038
168,서울특별시 마포구 마포대로 173-14,126.9536266,37.55099957
169,서울특별시 마포구 마포대로 130,126.952989,37.5459716
170,서울특별시 마포구 양화로 45,126.9141859,37.55076432
171,서울특별시 마포구 양화로 178,126.9252152,37.55750877
172,서울특별시 마포구 독막로 311,126.9479035,37.54383877
173,서울특별시 마포구 서강로 69,126.9316898,37.54942466
174,서울특별시 마포구 월드컵로1길 14,126.9120617,37.55004963
175,서울특별시 마포구 백범로 32 629,126.937273,37.551746
176,서울특별시 마포구 양화로 105,126.918577,37.55341345
177,서울특별시 마포구 월드컵북로54길 17,126.8885481,37.58132399
178,서울특별시 마포구 신촌로16길 10,126.9346768,37.55517824
179,서울특별시 마포구 상암산로 34,126.889197,37.576154
180,서울특별시 마포구 독막로 88,126.9232281,37.54751667
181,서울특별시 마포구 마포대로 86,126.9505782,37.54264236
182,서울특별시 마포구 양화로 78,126.9169221,37.55138736
183,서울특별시 마포구 백범로 23,126.937573,37.55245765
184,서울특별시 마포구 성암로 267,126.890989,37.58112363
185,"""서울특별시 마포구 양화로 165,""",126.9236197,37.55720923
186,"""서울특별시 마포구 월드컵북로 22,""",126.9200225,37.55689633
187,"""서울특별시 마포구 마포대로 201,""",126.9554965,37.5521969
188,"""서울특별시 마포구 와우산로 101,""",126.9248801,37.55333057
189,"""서울특별시 마포구 월드컵북로 375,""",126.8907234,37.57757431
190,"""서울특별시 마포구 마포대로 45,""",126.9463733,37.540473
191,서울특별시 마포구 마포대로 68,126.948962,37.54133238
192,서울특별시 마포구 와우산로 64,126.9232702,37.55021866
193,서울특별시 마포구 월드컵로 74,126.910726,37.55577887
194,서울특별시 마포구 백범로 212,126.9533658,37.54242887
195,서울특별시 마포구 양화로 45,126.9141859,37.55076432
196,서울 서대문구 가재울미래로 2,126.9178563,37.57436842
197,서울특별시 서대문구 신촌로 73,126.9345211,37.5563076
198,서울특별시 서대문구 연희로 97,126.9305175,37.56680481
199,서울특별시 서대문구 신촌로35길 10,126.9558993,37.55799893
