No,연번,지방청,경찰서,관서명,구분,치안센터명,주소,경도,위도
153,153,서울청,서울노원,월계,지구대,월계치안센터,서울 노원구 석계로 93,127.0614709,37.62284393
154,154,서울청,서울노원,월계,지구대,월계2치안센터,서울 노원구 초안산로 2,127.0557502,37.62847736
155,155,서울청,서울노원,월게,지구대,월계3치안센터,서울 노원구 마들로 55,127.0693255,37.62086395
156,156,서울청,서울노원,화랑,지구대,공릉치안센터,서울 노원구 공릉로 189,127.0789181,37.62671222
157,157,서울청,서울노원,화랑,지구대,공릉2치안센터,서울 노원구 노원로1길2,127.0866192,37.62263051
158,158,서울청,서울노원,불암,지구대,중계본치안센터,서울 노원구 중계로 139,127.0803905,37.64764098
159,159,서울청,서울노원,당고개,파출소,상계4치안센터,서울 노원구 상계로35길29,127.0778503,37.67146667
160,160,서울청,서울노원,마들,지구대,상계8치안센터,서울 노원구 동일로227길97,127.0515502,37.66673107
161,161,서울청,서울노원,노원역,지구대,상계2치안센터,서울 노원구 상계로 23길17,127.0685211,37.65880854
162,162,서울청,서울방배,남태령,지구대,방배3치안센터,서울 서초구 방배로 40,126.9999959,37.4784386
163,163,서울청,서울방배,서래,파출소,구반포치안센터,서울 서초구 신반포로15길 14,126.9945783,37.50447167
164,164,서울청,서울방배,이수,파출소,방배4치안센터,서울 서초구 방배중앙로 131,126.9869323,37.49091267
165,165,서울청,서울은평,불광,지구대,불광1치안센터,서울 은평구 불광로 129,126.9329322,37.61830779
166,166,서울청,서울은평,불광,지구대,불광2치안센터,서울 은평구 통일로 914,126.9202239,37.62454638
167,167,서울청,서울은평,연신내,지구대,구산치안센터,서울 은평구 갈현로 151,126.9111499,37.61150192
168,168,서울청,서울은평,연신내,지구대,갈현치안센터,서울 은평구 갈현로 41길 3,126.916629,37.62388763
169,169,서울청,서울은평,진관,파출소,신도치안센터,서울 은평구 진관2로 125,126.9313512,37.63433387
170,170,서울청,서울은평,진관,파출소,상림치안센터,서울 은평구 진관4로 48-25,126.9289416,37.64421437
171,171,서울청,서울은평,역촌,파출소,역촌1치안센터,서울 은평구 연서로6길 19,126.9179561,37.60446586
172,172,서울청,서울도봉,신방학,파출소,방학2치안센터,서울 도봉구 방학로 12길 18,127.0306632,37.66287204
173,173,서울청,서울도봉,숭미,파출소,쌍문1치안센터,서울 도봉구 우이천로 401,127.0201685,37.65008495
174,174,서울청,서울수서,도곡,지구대,도곡치안센터,서울 강남구 남부순환로378길29,127.0468352,37.48456868
175,175,서울청,서울수서,도곡,지구대,역서치안센터,서울 강남구 역삼로 117,127.0322107,37.49385996
176,176,서울청,서울수서,대치,지구대,은마치안센터,서울 강남구 삼성로 236,127.0614653,37.49835162
177,177,서울청,서울수서,개포,파출소,개포치안센터,서울 강남구 개포로 310-15,127.0574472,37.48478134
179,179,서울청,서울수서,수서,파출소,수서역치안센터,서울 강남구 밤고개로 99,127.1045603,37.48541821
