정류장명,위도,경도
하림각,126.9629664,37.59768473
보현빌라,126.9782816,37.61526153
스위스대사관,126.9658058,37.56998879
안국선원.삼거리,126.9852205,37.58274325
세검정교회,126.9594705,37.59956325
혜화동로터리,127.0010032,37.58591961
북악휴게실,126.9781123,37.61326379
서울시교육청,126.966825,37.56924297
창신쌍용1단지.종로센트레빌아파트,127.0155693,37.58032282
사우디대사관,126.9852486,37.58386331
상명대입구,126.9574023,37.59985447
혜화초등학교,126.9999909,37.58738929
북악파크,126.9778558,37.61100832
강북삼성병원,126.9683377,37.56853152
청룡사.보문파크뷰자이아파트,127.0171509,37.57978465
감사원,126.9855618,37.58626565
국민생활관,126.9993138,37.5896276
귀빈예식장,126.9733337,37.60899526
종로센트레빌후문.e편한세상보문아파트,127.0162354,37.58189784
통일부,126.9861073,37.58753085
서울국제고등학교,126.9971408,37.58907429
성대후문.와룡공원,126.989734,37.58915228
상명초등학교,126.9568174,37.60090493
새마을금고,126.996569,37.58784069
경진빌라,126.9579482,37.60186409
명륜시장.성대후문,126.9952305,37.58872461
완성빌라,126.9576665,37.60333997
양현관,126.9937686,37.589768
상명대후문,126.9574634,37.60407158
샘미용실,126.9934084,37.59025457
산정빌라,126.9575782,37.60528358
문방구,126.9579809,37.60613345
마트앞,126.9587565,37.60669871
국민은행.세검정지점,126.960786,37.60488731
화정박물관,126.9656867,37.6048591
혜화역4번출구,127.0014561,37.58346324
방송통신대앞,127.0019927,37.57869736
서울대치과대학,126.9978749,37.57730607
효제초교.연동교회.김마리아활동터,127.0022088,37.57364134
성균관대학교,126.9900036,37.58846387
독립문역,126.9594078,37.57328385
서울대치과대학,126.9977741,37.57760163
이화사거리,127.0020085,37.57694834
서울대학교병원현관.암병원현관,126.9981568,37.57895147
종각.공평유적전시관,126.9832427,37.57159379
조계사,126.9831199,37.57386542
인사동.아벤트리호텔,126.9831563,37.57303192
세종문화회관,126.9765654,37.57223062
JW메리어트동대문호텔,127.0094731,37.57030187
대학로,127.0021204,37.58189612
창경궁,126.9964163,37.57915963
창덕궁,126.9901776,37.57753017
인사동.북촌,126.9837978,37.57589502
경복궁.국립민속박물관,126.9797957,37.58020428
세종문화회관,126.9764644,37.5711272
통인시장,126.9713316,37.57911876
세종문화회관,126.9764099,37.57210269
종각역,126.9828944,37.56937996
인사동.탑골공원,126.9888006,37.57011554
종묘.세운상가,126.994195,37.57037393
광장시장,126.9996734,37.57062373
동묘.숭인동도깨비시장,127.0180439,37.5734766
서울풍물시장,127.0231781,37.57334003
청와대,126.97376,37.58268481
남대문세무서.서울백병원,126.9875299,37.56498481
서울백병원.국가인권위.안중근활동터,126.9878515,37.56435047
서울역버스환승센터,126.9723558,37.55502515
서울역버스환승센터,126.9725028,37.55547483
서울역버스환승센터,126.9727617,37.5553877
서울역버스환승센터,126.9728548,37.55547941
서울역버스환승센터.강우규의거터,126.9731162,37.55548398
숭례문,126.9737784,37.55863886
서울시청,126.9806321,37.56613826
만리동고개,126.9626582,37.55178706
손기정체육공원입구,126.9662339,37.55444595
경기여상입구.서울역서부,126.9679393,37.5565519
서울역서부,126.9693762,37.55632559
서울역서부,126.9692773,37.55699791
중림동교차로,126.9691354,37.55838363
종근당.충정로역,126.9644805,37.55951319
한국경제신문사,126.967868,37.56021115
한국경제신문사,126.9681135,37.56062347
경찰청.동북아역사재단,126.9691267,37.56304949
써미트호텔,127.006784,37.56240427
서대문경찰서.농협은행.유관순활동터,126.9677868,37.56490628
염천교,126.9733603,37.55985975
숭례문,126.9732933,37.55829684
숭례문.한국일보,126.9737376,37.55877131
후암삼거리,126.9760824,37.55334181
숭례문,126.9744043,37.55873271
숭례문,126.97402,37.558487
숭례문,126.9736983,37.55796032
남대문시장악세사리전문상가,126.9762052,37.55861324
숭례문남산방향,126.9756721,37.55855816
남대문시장,126.9800598,37.56119108
북창동.남대문시장,126.97792,37.561175
시청앞,126.9765581,37.56232445
삼성본관앞,126.9759075,37.56205175
시청앞,126.9761427,37.56276276
서소문,126.9748873,37.56320674
서소문,126.9753399,37.5636754
시청.서소문청사,126.9749539,37.56352484
서울신문사,126.9773647,37.56836329
우리은행종로지점,126.9829289,37.567519
롯데백화점,126.9820649,37.5644918
